-DOCSTART- -X- -X- O
APC NN B-NP O
in IN B-PP O
overall JJ B-NP O
domain NN I-NP O
structure NN I-NP O
, , O O
was VBD B-VP O
functionally RB I-VP O
analyzed VBN I-VP O
and CC O O
shown VBN B-VP O
to TO I-VP O
contain VB I-VP O
two CD B-NP O
SAMP NN I-NP O
domains NNS I-NP O
, , O O
both DT B-NP O
of IN B-PP O
which WDT B-NP O
are VBP B-VP O
required VBN I-VP O
for IN B-PP O
binding VBG B-VP O
to TO B-PP O
conductin NN B-NP O
. . O O

Like IN B-PP O
APC NN B-NP O
, , O O
APC2 NN B-NP O
regulates VBZ B-VP O
the DT B-NP O
formation NN I-NP O
of IN B-PP O
active JJ B-NP O
betacatenin NN I-NP O
- HYPH B-NP O
Tcf NN I-NP O
complexes NNS I-NP O
, , O O
as IN B-SBAR O
demonstrated VBN B-VP O
using VBG B-VP O
transient JJ B-NP O
transcriptional JJ I-NP O
activation NN I-NP O
assays NNS I-NP O
in IN B-PP O
APC NN B-NP O
- HYPH B-NP O
/ SYM I-NP O
- HYPH I-NP O
colon NN I-NP B-Disease
carcinoma NN I-NP I-Disease
cells NNS I-NP O
. . O O

Human JJ B-NP O
APC2 NN I-NP O
maps VBZ B-VP O
to TO B-PP O
chromosome NN B-NP O
19p13 CD I-NP O
. . O O

3 LS B-LST O
. . O O

APC NN B-NP O
and CC I-NP O
APC2 NN I-NP O
may MD B-VP O
therefore RB I-VP O
have VB I-VP O
comparable JJ B-NP O
functions NNS I-NP O
in IN B-PP O
development NN B-NP O
and CC I-NP O
cancer NN I-NP B-Disease
. . O O

A DT B-NP O
common JJ I-NP O
MSH2 NN I-NP O
mutation NN I-NP O
in IN B-PP O
English JJ B-NP O
and CC I-NP O
North JJ I-NP O
American JJ I-NP O
HNPCC NN I-NP B-Disease
families NNS I-NP O
: : O O
origin NN B-NP O
, , O O
phenotypic JJ B-NP O
expression NN I-NP O
, , O O
and CC O O
sex NN B-NP O
specific JJ I-NP O
differences NNS I-NP O
in IN B-PP O
colorectal JJ B-NP B-Disease
cancer NN I-NP I-Disease
. . O O

The DT B-NP O
frequency NN I-NP O
, , O O
origin NN B-NP O
, , O O
and CC O O
phenotypic JJ B-NP O
expression NN I-NP O
of IN B-PP O
a DT B-NP O
germline NN I-NP O
MSH2 NN I-NP O
gene NN I-NP O
mutation NN I-NP O
previously RB B-VP O
identified VBN I-VP O
in IN B-PP O
seven CD B-NP O
kindreds NNS I-NP O
with IN B-PP O
hereditary JJ B-NP B-Disease
non AFX I-NP I-Disease
- HYPH I-NP I-Disease
polyposis NN I-NP I-Disease
cancer NN I-NP I-Disease
syndrome NN I-NP I-Disease
( ( O O
HNPCC NN B-NP B-Disease
) ) O O
was VBD B-VP O
investigated VBN I-VP O
. . O O

The DT B-NP O
mutation NN I-NP O
( ( O O
A NN B-NP O
- SYM O O
- HYPH O O
> SYM O O
T NN B-NP O
at IN B-PP O
nt943 NN B-NP O
+ SYM B-NP O
3 CD I-NP O
) ) O O
disrupts VBZ B-VP O
the DT B-NP O
3 CD I-NP O
splice NN I-NP O
site NN I-NP O
of IN B-PP O
exon NN B-NP O
5 CD I-NP O
leading VBG B-VP O
to TO B-PP O
the DT B-NP O
deletion NN I-NP O
of IN B-PP O
this DT B-NP O
exon NN I-NP O
from IN B-PP O
MSH2 NN B-NP O
mRNA NN I-NP O
and CC O O
represents VBZ B-VP O
the DT B-NP O
only RB I-NP O
frequent JJ I-NP O
MSH2 NN I-NP O
mutation NN I-NP O
so RB B-VP O
far RB I-VP O
reported VBN I-VP O
. . O O

Although IN B-SBAR O
this DT B-NP O
mutation NN I-NP O
was VBD B-VP O
initially RB I-VP O
detected VBN I-VP O
in IN B-PP O
four CD B-NP O
of IN B-PP O
33 CD B-NP O
colorectal JJ I-NP B-Disease
cancer NN I-NP I-Disease
families NNS I-NP O
analysed VBN B-VP O
from IN B-PP O
eastern JJ B-NP O
England NNP I-NP O
, , O O
more RBR B-NP O
extensive JJ I-NP O
analysis NN I-NP O
has VBZ B-VP O
reduced VBN I-VP O
the DT B-NP O
frequency NN I-NP O
to TO B-PP O
four CD B-NP O
of IN B-PP O
52 CD B-NP O
( ( O O
8 CD B-NP O
% NN I-NP O
) ) I-NP O
English JJ I-NP O
HNPCC NN I-NP B-Disease
kindreds NNS I-NP O
analysed VBN B-VP O
. . O O

In IN B-PP O
contrast NN B-NP O
, , O O
the DT B-NP O
MSH2 NN I-NP O
mutation NN I-NP O
was VBD B-VP O
identified VBN I-VP O
in IN B-PP O
10 CD B-NP O
of IN B-PP O
20 CD B-NP O
( ( O O
50 CD B-NP O
% NN I-NP O
) ) O O
separately RB B-ADVP O
identified VBD B-VP O
colorectal JJ B-NP B-Disease
families NNS I-NP O
from IN B-PP O
Newfoundland NNP B-NP O
. . O O

To TO B-VP O
investigate VB I-VP O
the DT B-NP O
origin NN I-NP O
of IN B-PP O
this DT B-NP O
mutation NN I-NP O
in IN B-PP O
colorectal JJ B-NP B-Disease
cancer NN I-NP I-Disease
families NNS I-NP O
from IN B-PP O
England NNP B-NP O
( ( O O
n NN B-NP O
= SYM B-VP O
4 CD B-NP O
) ) O O
, , O O
Newfoundland NNP B-NP O
( ( O O
n NN B-NP O
= SYM B-VP O
10 CD B-NP O
) ) O O
, , O O
and CC O O
the DT B-NP O
United NNP I-NP O
States NNP I-NP O
( ( O O
n NN B-NP O
= SYM B-VP O
3 CD B-NP O
) ) O O
, , O O
haplotype NN B-NP O
analysis NN I-NP O
using VBG B-VP O
microsatellite NN B-NP O
markers NNS I-NP O
linked VBN B-VP O
to TO B-PP O
MSH2 NN B-NP O
was VBD B-VP O
performed VBN I-VP O
. . O O

Within IN B-PP O
the DT B-NP O
English NNP I-NP O
and CC I-NP O
US NNP I-NP O
families NNS I-NP O
there EX B-NP O
was VBD B-VP O
little JJ B-NP O
evidence NN I-NP O
for IN B-PP O
a DT B-NP O
recent JJ I-NP O
common JJ I-NP O
origin NN I-NP O
of IN B-PP O
the DT B-NP O
MSH2 NN I-NP O
splice NN I-NP O
site NN I-NP O
mutation NN I-NP O
in IN B-PP O
most JJS B-NP O
families NNS I-NP O
. . O O

In IN B-PP O
contrast NN B-NP O
, , O O
a DT B-NP O
common JJ I-NP O
haplotype NN I-NP O
was VBD B-VP O
identified VBN I-VP O
at IN B-PP O
the DT B-NP O
two CD I-NP O
flanking NN I-NP O
markers NNS I-NP O
( ( O O
CA5 NN B-NP O
and CC O O
D2S288 NN B-NP O
) ) O O
in IN B-PP O
eight CD B-NP O
of IN B-PP O
the DT B-NP O
Newfoundland NNP I-NP O
families NNS I-NP O
. . O O

These DT B-NP O
findings NNS I-NP O
suggested VBD B-VP O
a DT B-NP O
founder NN I-NP O
effect NN I-NP O
within IN B-PP O
Newfoundland NNP B-NP O
similar JJ B-ADJP O
to TO B-PP O
that DT B-NP O
reported VBN B-VP O
by IN B-PP O
others NNS B-NP O
for IN B-PP O
two CD B-NP O
MLH1 NN I-NP O
mutations NNS I-NP O
in IN B-PP O
Finnish JJ B-NP O
HNPCC NN I-NP B-Disease
families NNS I-NP O
. . O O

We PRP B-NP O
calculated VBD B-VP O
age NN B-NP O
related JJ I-NP O
risks NNS I-NP O
of IN B-PP O
all DT B-NP O
, , O O
colorectal JJ B-NP B-Disease
, , I-NP I-Disease
endometrial JJ I-NP I-Disease
, , O I-Disease
and CC O I-Disease
ovarian JJ B-NP I-Disease
cancers NNS I-NP I-Disease
in IN B-PP O
nt943 NN B-NP O
+ SYM O O
3 CD B-NP O
A NN I-NP O
- SYM B-NP O
- HYPH I-NP O
> SYM I-NP O
T NN I-NP O
MSH2 NN I-NP O
mutation NN I-NP O
carriers NNS I-NP O
( ( O O
n NN B-NP O
= SYM B-VP O
76 CD B-NP O
) ) O O
for IN B-PP O
all DT B-NP O
patients NNS I-NP O
and CC B-PP O
for IN B-PP O
men NNS B-NP O
and CC I-NP O
women NNS I-NP O
separately RB B-ADVP O
. . O O

For IN B-PP O
both DT B-NP O
sexes NNS I-NP O
combined VBN B-VP O
, , O O
the DT B-NP O
penetrances NNS I-NP O
at IN B-PP O
age NN B-NP O
60 CD B-NP O
years NNS I-NP O
for IN B-PP O
all DT B-NP O
cancers NNS I-NP B-Disease
and CC B-PP O
for IN B-PP O
colorectal JJ B-NP B-Disease
cancer NN I-NP I-Disease
were VBD B-VP O
0 CD B-NP O
. . O O

86 CD B-NP O
and CC I-NP O
0 CD I-NP O
. . O O

57 CD B-NP O
, , O O
respectively RB B-ADVP O
. . O O

The DT B-NP O
risk NN I-NP O
of IN B-PP O
colorectal JJ B-NP B-Disease
cancer NN I-NP I-Disease
was VBD B-VP O
significantly RB B-ADJP O
higher JJR I-ADJP O
( ( O O
p NN B-NP O
< SYM B-ADJP O
0 CD B-NP O
. . I-NP O

01 CD I-NP O
) ) O O
in IN B-PP O
males NNS B-NP O
than IN B-PP O
females NNS B-NP O
( ( O O
0 CD B-NP O
. . O O

63 CD B-NP O
v IN B-PP O
0 CD B-NP O
. . O O

30 CD B-NP O
and CC I-NP O
0 CD I-NP O
. . O O

84 CD B-NP O
v IN B-PP O
0 CD B-NP O
. . I-NP O

44 CD I-NP O
at IN B-PP O
ages NNS B-NP O
50 CD B-NP O
and CC I-NP O
60 CD I-NP O
years NNS I-NP O
, , O O
respectively RB B-ADVP O
) ) O O
. . O O

For IN B-PP O
females NNS B-NP O
there EX B-NP O
was VBD B-VP O
a DT B-NP O
high JJ I-NP O
risk NN I-NP O
of IN B-PP O
endometrial JJ B-NP B-Disease
cancer NN I-NP I-Disease
( ( O O
0 CD B-NP O
. . O O

5 CD B-NP O
at IN B-PP O
age NN B-NP O
60 CD B-NP O
years NNS I-NP O
) ) O O
and CC O O
premenopausal JJ B-NP B-Disease
ovarian JJ I-NP I-Disease
cancer NN I-NP I-Disease
( ( O O
0 CD B-NP O
. . I-NP O

2 CD I-NP O
at IN B-PP O
50 CD B-NP O
years NNS I-NP O
) ) O O
. . O O

These DT B-NP O
intersex JJ I-NP O
differences NNS I-NP O
in IN B-PP O
colorectal JJ B-NP B-Disease
cancer NN I-NP I-Disease
risks NNS I-NP O
have VBP B-VP O
implications NNS B-NP O
for IN B-PP O
screening NN B-NP O
programmes NNS I-NP O
and CC B-PP O
for IN B-PP O
attempts NNS B-NP O
to TO B-VP O
identify VB I-VP O
colorectal JJ B-NP B-Disease
cancer NN I-NP I-Disease
susceptibility NN I-NP O
modifiers NNS I-NP O
. . O O

Age NN B-NP O
of IN B-PP O
onset NN B-NP O
in IN B-PP O
Huntington NNP B-NP B-Disease
disease NN I-NP I-Disease
: : O O
sex NN B-NP O
specific JJ I-NP O
influence NN I-NP O
of IN B-PP O
apolipoprotein NN B-NP O
E NN I-NP O
genotype NN I-NP O
and CC O O
normal JJ B-NP O
CAG NN I-NP O
repeat NN I-NP O
length NN I-NP O
. . O O

Age NN B-NP O
of IN B-PP O
onset NN B-NP O
( ( O O
AO NN B-NP O
) ) O O
of IN B-PP O
Huntington NNP B-NP B-Disease
disease NN I-NP I-Disease
( ( O O
HD NN B-NP B-Disease
) ) O O
is VBZ B-VP O
known VBN I-VP O
to TO I-VP O
be VB I-VP O
correlated VBN I-VP O
with IN B-PP O
the DT B-NP O
length NN I-NP O
of IN B-PP O
an DT B-NP O
expanded VBN I-NP O
CAG NN I-NP O
repeat NN I-NP O
in IN B-PP O
the DT B-NP O
HD NN I-NP B-Disease
gene NN I-NP O
. . O O

Apolipoprotein NN B-NP O
E NN I-NP O
( ( O O
APOE NN B-NP O
) ) O O
genotype NN B-NP O
, , O O
in IN B-PP O
turn NN B-NP O
, , O O
is VBZ B-VP O
known VBN I-VP O
to TO I-VP O
influence VB I-VP O
AO NN B-NP O
in IN B-PP O
Alzheimer NNP B-NP B-Disease
disease NN I-NP I-Disease
, , O O
rendering VBG B-VP O
the DT B-NP O
APOE NN I-NP O
gene NN I-NP O
a DT B-NP O
likely JJ I-NP O
candidate NN I-NP O
to TO B-VP O
affect VB I-VP O
AO NN B-NP O
in IN B-PP O
other JJ B-NP O
neurological JJ I-NP B-Disease
diseases NNS I-NP I-Disease
too RB B-ADVP O
. . O O

We PRP B-NP O
therefore RB B-ADVP O
determined VBD B-VP O
APOE NN B-NP O
genotype NN I-NP O
and CC O O
normal JJ B-NP O
CAG NN I-NP O
repeat NN I-NP O
length NN I-NP O
in IN B-PP O
the DT B-NP O
HD NN I-NP B-Disease
gene NN I-NP O
for IN B-PP O
138 CD B-NP O
HD NN I-NP B-Disease
patients NNS I-NP O
who WP B-NP O
were VBD B-VP O
previously RB I-VP O
analysed VBN I-VP O
with IN B-PP O
respect NN B-NP O
to TO B-PP O
CAG NN B-NP O
repeat NN I-NP O
length NN I-NP O
. . O O

Genotyping VBG B-VP O
for IN B-PP O
APOE NN B-NP O
was VBD B-VP O
performed VBN I-VP O
blind JJ B-ADJP O
to TO B-PP O
clinical JJ B-NP O
information NN I-NP O
. . O O

In IN B-PP O
addition NN B-NP O
to TO B-PP O
highlighting VBG B-VP O
the DT B-NP O
effect NN I-NP O
of IN B-PP O
the DT B-NP O
normal JJ I-NP O
repeat NN I-NP O
length NN I-NP O
upon IN B-PP O
AO NN B-NP O
in IN B-PP O
maternally RB B-NP O
inherited VBN I-NP O
HD NN I-NP B-Disease
and CC B-PP O
in IN B-PP O
male JJ B-NP O
patients NNS I-NP O
, , O O
we PRP B-NP O
show VBP B-VP O
that IN B-SBAR O
the DT B-NP O
APOE NN I-NP O
epsilon2epsilon3 NN I-NP O
genotype NN I-NP O
is VBZ B-VP O
associated VBN I-VP O
with IN B-PP O
significantly RB B-NP O
earlier JJR I-NP O
AO NN I-NP O
in IN B-PP O
males NNS B-NP O
than IN B-PP O
in IN B-PP O
females NNS B-NP O
. . O O

Such PDT B-NP O
a DT I-NP O
sex NN I-NP O
difference NN I-NP O
in IN B-PP O
AO NN B-NP O
was VBD B-VP O
not RB O O
apparent JJ B-ADJP O
for IN B-PP O
any DT B-NP O
of IN B-PP O
the DT B-NP O
other JJ I-NP O
APOE NNP I-NP O
genotypes NNS I-NP O
. . O O

Our PRP$ B-NP O
findings NNS I-NP O
suggest VBP B-VP O
that IN B-SBAR O
subtle JJ B-NP O
differences NNS I-NP O
in IN B-PP O
the DT B-NP O
course NN I-NP O
of IN B-PP O
the DT B-NP O
neurodegeneration NN I-NP B-Disease
in IN B-PP O
HD NN B-NP B-Disease
may MD B-VP O
allow VB I-VP O
interacting VBG I-VP O
genes NNS B-NP O
to TO B-VP O
exert VB I-VP O
gender NN B-NP O
specific JJ I-NP O
effects NNS I-NP O
upon IN B-PP O
AO NN B-NP O
. . O O

Familial JJ B-NP B-Disease
deficiency NN I-NP I-Disease
of IN B-PP I-Disease
the DT B-NP I-Disease
seventh JJ I-NP I-Disease
component NN I-NP I-Disease
of IN B-PP I-Disease
complement NN B-NP I-Disease
associated VBN B-VP O
with IN B-PP O
recurrent JJ B-NP O
bacteremic JJ I-NP B-Disease
infections NNS I-NP I-Disease
due JJ B-ADJP I-Disease
to TO B-PP I-Disease
Neisseria NNP B-NP I-Disease
. . O O

The DT B-NP O
serum NN I-NP O
of IN B-PP O
a DT B-NP O
29 CD I-NP O
- HYPH I-NP O
year NN I-NP O
old JJ I-NP O
woman NN I-NP O
with IN B-PP O
a DT B-NP O
recent JJ I-NP O
episode NN I-NP O
of IN B-PP O
disseminated VBN B-NP B-Disease
gonococcal JJ I-NP I-Disease
infection NN I-NP I-Disease
and CC O O
a DT B-NP O
history NN I-NP O
of IN B-PP O
meningococcal JJ B-NP B-Disease
meningitis NN I-NP I-Disease
and CC I-NP O
arthritis NN I-NP B-Disease
as IN B-PP O
a DT B-NP O
child NN I-NP O
was VBD B-VP O
found VBN I-VP O
to TO I-VP O
lack VB I-VP O
serum NN B-NP O
hemolytic JJ I-NP O
complement NN I-NP O
activity NN I-NP O
. . O O

The DT B-NP O
seventh JJ I-NP O
component NN I-NP O
of IN B-PP O
complement NN B-NP O
( ( O O
C7 NN B-NP O
) ) O O
was VBD B-VP O
not RB I-VP O
detected VBN I-VP O
by IN B-PP O
functional JJ B-NP O
or CC I-NP O
immunochemical JJ I-NP O
assays NNS I-NP O
, , O O
whereas IN O O
other JJ B-NP O
components NNS I-NP O
were VBD B-VP O
normal JJ B-ADJP O
by IN B-PP O
hemolytic JJ B-NP O
and CC I-NP O
immunochemical JJ I-NP O
assessment NN I-NP O
. . O O

Her PRP$ B-NP O
fresh JJ I-NP O
serum NN I-NP O
lacked VBD B-VP O
complement NN B-NP O
- HYPH O O
mediated VBN B-NP O
bactericidal JJ I-NP O
activity NN I-NP O
against IN B-PP O
Neisseria NNP B-NP O
gonorrhoeae NNP I-NP O
, , O O
but CC O O
the DT B-NP O
addition NN I-NP O
of IN B-PP O
fresh JJ B-NP O
normal JJ I-NP O
serum NN I-NP O
or CC O O
purified VBN B-NP O
C7 NN I-NP O
restored VBD B-VP O
bactericidal JJ B-NP O
activity NN I-NP O
as RB B-CONJP O
well RB I-CONJP O
as IN I-CONJP O
hemolytic JJ B-NP O
activity NN I-NP O
. . O O

The DT B-NP O
absence NN I-NP B-Disease
of IN B-PP I-Disease
functional JJ B-NP I-Disease
C7 NN I-NP I-Disease
activity NN I-NP O
could MD B-VP O
not RB I-VP O
be VB I-VP O
accounted VBN I-VP O
for IN B-PP O
on IN B-PP O
the DT B-NP O
basis NN I-NP O
of IN B-PP O
an DT B-NP O
inhibitor NN I-NP O
. . O O

Opsonization NN B-NP O
and CC I-NP O
generation NN I-NP O
of IN B-PP O
chemotactic JJ B-NP O
activity NN I-NP O
functioned VBD B-VP O
normally RB B-ADVP O
. . O O

Complete JJ B-NP B-Disease
absence NN I-NP I-Disease
of IN B-PP I-Disease
C7 NN B-NP I-Disease
was VBD B-VP O
also RB I-VP O
found VBN I-VP O
in IN B-PP O
one CD B-NP O
sibling NN I-NP O
who WP B-NP O
had VBD B-VP O
the DT B-NP O
clinical JJ I-NP O
syndrome NN I-NP O
of IN B-PP O
meningococcal JJ B-NP B-Disease
meningitis NN I-NP I-Disease
and CC I-NP O
arthritis NN I-NP B-Disease
as IN B-PP O
a DT B-NP O
child NN I-NP O
and CC B-PP O
in IN B-PP O
this DT B-NP O
siblings NNS I-NP O
clinically RB B-ADVP O
well RB B-NP O
eight CD I-NP O
- HYPH I-NP O
year NN I-NP O
- HYPH B-NP O
old JJ I-NP O
son NN I-NP O
. . O O

HLA NN B-NP O
histocompatibility NN I-NP O
typing NN I-NP O
of IN B-PP O
the DT B-NP O
family NN I-NP O
members NNS I-NP O
did VBD B-VP O
not RB I-VP O
demonstrate VB I-VP O
evidence NN B-NP O
for IN B-PP O
genetic JJ B-NP O
linkage NN I-NP O
of IN B-PP O
C7 NN B-NP B-Disease
deficiency NN I-NP I-Disease
with IN B-PP O
the DT B-NP O
major JJ I-NP O
histocompatibility NN I-NP O
loci NNS I-NP O
. . O O

This DT B-NP O
report NN I-NP O
represents VBZ B-VP O
the DT B-NP O
first JJ I-NP O
cases NNS I-NP O
of IN B-PP O
C7 NN B-NP B-Disease
deficiency NN I-NP I-Disease
associated VBN B-VP O
with IN B-PP O
infectious JJ B-NP O
complications NNS I-NP O
and CC O O
suggests VBZ B-VP O
that IN B-SBAR O
bactericidal JJ B-NP O
activity NN I-NP O
may MD B-VP O
be VB I-VP O
important JJ B-ADJP O
in IN B-PP O
host NN B-NP O
defense NN I-NP O
against IN B-PP O
bacteremic JJ B-NP B-Disease
neisseria NN I-NP I-Disease
infections NNS I-NP I-Disease
. . O O

Increased VBN B-NP O
incidence NN I-NP O
of IN B-PP O
cancer NN B-NP B-Disease
in IN B-PP O
patients NNS B-NP O
with IN B-PP O
cartilage NN B-NP B-Disease
- HYPH B-NP I-Disease
hair NN I-NP I-Disease
hypoplasia NN I-NP I-Disease
. . O O

OBJECTIVE NN B-NP O
Previous JJ I-NP O
reports NNS I-NP O
have VBP B-VP O
suggested VBN I-VP O
an DT B-NP O
increased VBN I-NP O
risk NN I-NP O
of IN B-PP O
cancer NN B-NP B-Disease
among IN B-PP O
patients NNS B-NP O
with IN B-PP O
cartilage NN B-NP B-Disease
- HYPH B-NP I-Disease
hair NN I-NP I-Disease
hypoplasia NN I-NP I-Disease
( ( O O
CHH NN B-NP B-Disease
) ) O O
. . O O

This DT B-NP O
study NN I-NP O
was VBD B-VP O
carried VBN I-VP O
out RP B-PRT O
to TO B-VP O
further RB I-VP O
evaluate VB I-VP O
this DT B-NP O
risk NN I-NP O
among IN B-PP O
patients NNS B-NP O
with IN B-PP O
CHH NN B-NP B-Disease
and CC O O
their PRP$ B-NP O
first JJ I-NP O
- HYPH I-NP O
degree NN I-NP O
relatives NNS I-NP O
. . O O

STUDY NN B-NP O
DESIGN NNP B-NP O
One CD I-NP O
hundred CD I-NP O
twenty CD I-NP O
- HYPH O O
two CD B-NP O
patients NNS I-NP O
with IN B-PP O
CHH NN B-NP B-Disease
were VBD B-VP O
identified VBN I-VP O
through IN B-PP O
2 CD B-NP O
countrywide JJ I-NP O
epidemiologic JJ I-NP O
surveys NNS I-NP O
in IN B-PP O
1974 CD B-NP O
and CC O O
in IN B-PP O
1986 CD B-NP O
. . O O

Their PRP$ B-NP O
parents NNS I-NP O
and CC O O
nonaffected JJ B-NP O
siblings NNS I-NP O
were VBD B-VP O
identified VBN I-VP O
through IN B-PP O
the DT B-NP O
Population NNP I-NP O
Register NNP I-NP O
Center NNP I-NP O
. . O O

This DT B-NP O
cohort NN I-NP O
underwent VBD B-VP O
follow VB I-VP O
- HYPH O O
up RP B-PRT O
for IN B-PP O
cancer NN B-NP B-Disease
incidence NN I-NP O
through IN B-PP O
the DT B-NP O
Finnish NNP I-NP O
Cancer NNP I-NP O
Registry NNP I-NP O
to TO B-PP O
the DT B-NP O
end NN I-NP O
of IN B-PP O
1995 CD B-NP O
. . O O

RESULTS NNS B-NP O
A DT B-NP O
statistically RB I-NP O
significant JJ I-NP O
excess JJ I-NP O
risk NN I-NP O
of IN B-PP O
cancer NN B-NP B-Disease
was VBD B-VP O
seen VBN I-VP O
among IN B-PP O
the DT B-NP O
patients NNS I-NP O
with IN B-PP O
CHH NN B-NP B-Disease
( ( O O
standardized JJ B-NP O
incidence NN I-NP O
ratio NN I-NP O
6 CD I-NP O
. . I-NP O

9 CD I-NP O
, , I-NP O
95 CD I-NP O
% NN I-NP O
confidence NN I-NP O
interval NN I-NP O
2 CD I-NP O
. . I-NP O

3 CD I-NP O
to TO B-PP O
16 CD B-NP O
) ) O O
, , O O
which WDT B-NP O
was VBD B-VP O
mainly RB B-ADJP O
attributable JJ I-ADJP O
to TO B-PP O
non AFX B-NP B-Disease
- HYPH I-NP I-Disease
Hodgkins NNP I-NP I-Disease
lymphoma NN I-NP I-Disease
( ( O O
standardized JJ B-NP O
incidence NN I-NP O
ratio NN I-NP O
90 CD I-NP O
, , I-NP O
95 CD I-NP O
% NN I-NP O
confidence NN I-NP O
interval NN I-NP O
18 CD B-NP O
to TO I-NP O
264 CD I-NP O
) ) O O
. . O O

In IN B-PP O
addition NN B-NP O
, , O O
a DT B-NP O
significant JJ I-NP O
excess JJ I-NP O
risk NN I-NP O
of IN B-PP O
basal JJ B-NP B-Disease
cell NN I-NP I-Disease
carcinoma NN I-NP I-Disease
was VBD B-VP O
seen VBN I-VP O
( ( O O
standardized JJ B-NP O
incidence NN I-NP O
ratio NN I-NP O
35 CD I-NP O
, , O O
95 CD B-NP O
% NN I-NP O
confidence NN I-NP O
interval NN I-NP O
7 CD I-NP O
. . O O

2 CD B-NP O
to TO B-PP O
102 CD B-NP O
) ) O O
. . O O

The DT B-NP O
cancer NN I-NP B-Disease
incidence NN I-NP O
among IN B-PP O
the DT B-NP O
siblings NNS I-NP O
or CC O O
the DT B-NP O
parents NNS I-NP O
did VBD B-VP O
not RB I-VP O
differ VB I-VP O
from IN B-PP O
the DT B-NP O
average JJ I-NP O
cancer NN I-NP B-Disease
incidence NN I-NP O
in IN B-PP O
the DT B-NP O
Finnish JJ I-NP O
population NN I-NP O
. . O O

CONCLUSIONS NNS B-NP O
This DT B-NP O
study NN I-NP O
confirms VBZ B-VP O
an DT B-NP O
increased VBN I-NP O
risk NN I-NP O
of IN B-PP O
cancer NN B-NP B-Disease
, , O O
especially RB B-ADVP O
non AFX B-NP B-Disease
- HYPH I-NP I-Disease
Hodgkins NNP I-NP I-Disease
lymphoma NN I-NP I-Disease
, , O O
probably RB B-ADVP O
attributable JJ B-ADJP O
to TO B-PP O
defective JJ B-NP O
immunity NN I-NP O
, , O O
among IN B-PP O
patients NNS B-NP O
with IN B-PP O
CHH NN B-NP B-Disease
. . O O

Genotype NN B-NP O
and CC I-NP O
phenotype NN I-NP O
in IN B-PP O
patients NNS B-NP O
with IN B-PP O
dihydropyrimidine NN B-NP B-Disease
dehydrogenase NN I-NP I-Disease
deficiency NN I-NP I-Disease
. . O O

Dihydropyrimidine NN B-NP B-Disease
dehydrogenase NN I-NP I-Disease
( ( O I-Disease
DPD NN B-NP I-Disease
) ) O I-Disease
deficiency NN B-NP I-Disease
is VBZ B-VP O
an DT B-NP O
autosomal JJ I-NP B-Disease
